"KeyID" "Latitude" "Longitude" "Elevation" "Rep" "Year" "Month" "Day" "Tmin" "Tair" "Tmax" "Prcp" "Tdew" "RelH" "SRad" "DataType" "sites"
"1" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 1 -15.2 -5.8 3.6 1.2 -4.4 90.5 64.2 "Real_Data" "LSJ"
"2" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 2 -11.5 -7.5 -3.5 0.1 -9.6 79.7 51.6 "Real_Data" "LSJ"
"3" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 3 -14 -6.3 1.3 0.7 -5.6 87 63 "Real_Data" "LSJ"
"4" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 4 -1.5 1.5 4.5 0.1 -0.3 83.9 46.2 "Real_Data" "LSJ"
"5" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 5 1 3.1 5.3 2.3 2.8 92.3 41.2 "Real_Data" "LSJ"
"6" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 6 -0.1 2.2 4.5 9 2.2 97.3 41.8 "Real_Data" "LSJ"
"7" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 7 -4.5 -2.6 -0.6 0.8 -5.3 80 40.4 "Real_Data" "LSJ"
"8" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 8 -7.2 -3.7 -0.2 7 -3.9 93.1 50.1 "Real_Data" "LSJ"
"9" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 9 -8.1 -4.1 -0.1 1.1 -5.3 85.8 53.1 "Real_Data" "LSJ"
"10" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 10 -16.2 -14.2 -12.1 0 -16.5 76.1 47.6 "Real_Data" "LSJ"
"11" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 11 -21.9 -14.1 -6.3 4.7 -17 81 68.3 "Real_Data" "LSJ"
"12" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 12 -13.1 -7.2 -1.3 5 -5.3 93.6 63.5 "Real_Data" "LSJ"
"13" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 13 -26.4 -19.8 -13.2 0 -20.8 78 80 "Real_Data" "LSJ"
"14" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 14 -32 -22.1 -12.2 0 -24.4 77.6 88.6 "Real_Data" "LSJ"
"15" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 15 -31.6 -24.6 -17.6 3.1 -24.3 80 70.2 "Real_Data" "LSJ"
"16" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 16 -27.1 -23.2 -19.3 0 -26 71.8 66.7 "Real_Data" "LSJ"
"17" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 17 -33.8 -26 -18.2 9.9 -30.4 67.9 74.6 "Real_Data" "LSJ"
"18" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 18 -27.6 -17.4 -7.3 6 -15.2 84.1 78.8 "Real_Data" "LSJ"
"19" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 19 -11.2 -7.5 -3.9 0.1 -8.6 90.5 58.7 "Real_Data" "LSJ"
"20" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 20 -20 -16.8 -13.6 0.1 -19.8 72.8 56.9 "Real_Data" "LSJ"
"21" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 21 -28.5 -22.4 -16.4 0 -25.9 68 87.3 "Real_Data" "LSJ"
"22" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 22 -31.6 -21.2 -10.9 0.1 -23.8 76.6 83.2 "Real_Data" "LSJ"
"23" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 23 -15.6 -10.2 -4.8 3.4 -11.2 82.8 71.8 "Real_Data" "LSJ"
"24" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 24 -25.7 -18.1 -10.5 0.1 -19.1 76.6 81 "Real_Data" "LSJ"
"25" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 25 -32.8 -26.8 -20.8 0 -29.7 68.8 91.8 "Real_Data" "LSJ"
"26" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 26 -35.3 -29 -22.7 0 -32.1 65.7 94.5 "Real_Data" "LSJ"
"27" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 27 -33.6 -25.5 -17.3 0 -27.9 70.1 103.4 "Real_Data" "LSJ"
"28" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 28 -30.2 -22.8 -15.3 0.2 -25.5 71.6 84.8 "Real_Data" "LSJ"
"29" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 29 -32.3 -25.9 -19.6 0 -29.3 69.9 98.7 "Real_Data" "LSJ"
"30" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 30 -36.7 -28.1 -19.6 0 -31.9 68.3 109 "Real_Data" "LSJ"
"31" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 1 31 -34.7 -25 -15.3 0.2 -28.3 73.3 92.9 "Real_Data" "LSJ"
"32" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 1 -31.9 -19.7 -7.4 0.1 -21.3 76.5 95.5 "Real_Data" "LSJ"
"33" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 2 -10.6 -6.8 -3 2 -8.3 82.3 68.8 "Real_Data" "LSJ"
"34" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 3 -19.6 -12.3 -5.1 0.1 -14.1 74.3 89.3 "Real_Data" "LSJ"
"35" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 4 -29 -24 -19 0 -27.9 62.2 94.8 "Real_Data" "LSJ"
"36" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 5 -30.7 -25.3 -19.8 0.1 -30.5 61.1 82.5 "Real_Data" "LSJ"
"37" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 6 -24.8 -19.2 -13.7 0 -24.5 58.4 100.2 "Real_Data" "LSJ"
"38" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 7 -29.3 -22.3 -15.2 0 -25.4 61.9 111.9 "Real_Data" "LSJ"
"39" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 8 -26 -20.4 -14.7 0.4 -22.1 71 85.2 "Real_Data" "LSJ"
"40" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 9 -22.2 -16.5 -10.7 0.4 -19.5 71.7 86.1 "Real_Data" "LSJ"
"41" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 10 -21.6 -17.6 -13.6 0 -21.5 68.9 88.2 "Real_Data" "LSJ"
"42" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 11 -30.8 -20.8 -10.7 0.9 -24.2 69.7 106.6 "Real_Data" "LSJ"
"43" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 12 -21.9 -17.4 -12.9 0 -23.5 67.4 96.4 "Real_Data" "LSJ"
"44" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 13 -25.8 -21.4 -17 0 -26.7 63.6 98.3 "Real_Data" "LSJ"
"45" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 14 -24.6 -18.9 -13.1 19 -21.6 77 95.9 "Real_Data" "LSJ"
"46" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 15 -18.4 -15.6 -12.7 4.6 -17.5 83.2 70.6 "Real_Data" "LSJ"
"47" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 16 -22.1 -17 -11.9 0.5 -20.3 75.7 94.4 "Real_Data" "LSJ"
"48" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 17 -17.1 -11.9 -6.7 0.1 -15 70.8 97.2 "Real_Data" "LSJ"
"49" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 18 -23 -17.1 -11.2 0.1 -19.6 73 104.1 "Real_Data" "LSJ"
"50" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 19 -30.8 -24.8 -18.7 1.2 -29.7 62.5 106.6 "Real_Data" "LSJ"
"51" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 20 -31.7 -23 -14.2 0.5 -23.9 74.5 121.4 "Real_Data" "LSJ"
"52" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 21 -26.7 -19.2 -11.6 0 -21.4 70.5 146.2 "Real_Data" "LSJ"
"53" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 22 -28.6 -19.2 -9.7 0 -22.5 65.1 157.3 "Real_Data" "LSJ"
"54" "LSJ_E03" 49.0326934836469 -71.5681221446589 278.592620849609 0 2007 2 23 -21.6 -16.2 -10.9 0.8 -20.1 70.7 105.3 "Real_Data" "LSJ"
